Name,ShortName,ModeAndPID,Equation,Min Value,Max Value,Units,Header,startDiagnostic,stopDiagnostic,Scale,Updated,Notes
~List by Sean Graham obd@wackyland.net,List Credit,,,,,,,,,,28-Mar,List updated and maintained by Sean Graham (obd@wackyland.net). Please contact if you have any changes!
!Inst Kpower,Inst P (KW),,[222885]*[222414]/1000,-200,200,KW,,,,1,,
!Inst W/kph,W/kph,,[222885]*[222414]/[22000D],-10000,10000,W/kph,,,,1,,
!Inst W/mph,W/mph,,[222885]*[222414]/([22000D]/1.61),-10000,10000,W/mph,,,,1,,
*Charger AC Current,CAC Amps,224369,A*.2,0,40,A,7E4,,,1,1-Feb,
*Charger AC Voltage,CAC Volts,224368,A*2,0,500,V,7E4,,,1,1-Feb,
*Charger AC Power,CAC Power,,[224369]*[224368]/1000,0,8,KW,,,,1,6-Apr,Thanks Aviad
!Charger HV Current,CDC Amps,22436C,((Signed(A)*256+b))/20,0,200,A,7E4,,,1,1-Feb,
!Charger HV Voltage,CDC Volts,22436B,((A*256)+B)/2,0,500,V,7E4,,,1,1-Feb,
!Charger HV Power,CDC Power,,[22436C]*[22436B]/1000,0,60,KW,,,,1,6-Apr,Thanks Aviad
!HV Current,HV Amps,222414,(Signed(A)*256+B)/20,-200,500,A,7E1,,,1,1-Feb,
!HV Current HD,HV Amps HD,224356,(Signed(A)*256+B)/(-6.666),-200,500,A,7E4,,,1,31-Mar,
!MG Voltage,MG V,222885,((A*256)+B)/100,0,500,V,7E1,,,1,21-Mar,Primary Battery-Side Voltage
*MG Voltage 2,MG1 1C24,221C24,((A*256)+B)/100,0,500,V,7E1,,,1,21-Mar,"The rest are all PIDs that clearly are system bus voltage levels, slightly different"
*MG Voltage 3,MG3 28CF,2228CF,((A*256)+B)/50,0,500,V,7E1,,,1,21-Mar,"or offset from above, but all do the same thing. Not sure where they all come from."
*MG Voltage 4,MG4 28D0,2228D0,((A*256)+B)/50,0,500,V,7E1,,,1,21-Mar,
*MG Voltage 5,MG5 28FB,2228FB,((A*256)+B)/100,0,500,V,7E1,,,1,21-Mar,
*MG Voltage 6,MG6 4329,224329,((A*256)+B)/16.8887,0,500,V,7E4,,,1,21-Mar,
*MG Voltage 7,MG7 432D,22432D,((A*256)+B)/2,0,500,V,7E4,,,1,21-Mar,
!State of Charge Raw,SoC Raw,015B,A*100/255,0,100,%,,,,1,1-Feb,
*State of Charge Raw 2,SoC Raw 2,222411,A*100/255,0,255,?,7E1,,,1,1-Feb,Slightly different from the one above
!Battery Capacity,Bat Capacity,2241A3,((A*256)+B)/30,0,65,kWh,7E4,,,1,23-Mar,"This one is very interesting, perhaps recalibrated after a charge or full charge? PLEASE EMAIL SEAN with your values and notes when it changes!"
!State Of Charge HD Raw,SoC Raw HD,2243AF,((((A*256)+B)*100)/65535),0,105,%,7E4,,,1,1-Feb,
!Battery Level Displayed,Batt % DIC,228334,A*100/255,0,100,%,7E4,,,1,23-Mar,
*Speed kmh,Speed,22000D,A,0,160,kmh,7E0,,,1,1-Feb,
*Speed mph,Speed,22000D,(A/1.61),0,100,mph,7E0,,,1,1-Feb,
*Tran Temp,Tran Temp,221940,A-40,-40,100,C,7E1,,,1,1-Feb,
*Last Charge AC Wh,Last Chrg Wh,22437D,((A*256)+B)*10,0,65535,Wh,7E4,,,1,1-Feb,
*Last Charge AC KWh,Last Chrg KWh,,[22437D]/1000,0,65,KWh,,,,1,6-Apr,Thanks Aviad
*Gear Position,PRNDL,222889,A,0,8,,7E1,,,1,1-Feb,
*Batt Coolant Pump RPM,Batt Cool RPM,2241B2,(Signed(A)*256+B),0,5000,RPM,7E4,,,1,23-Mar,
!Heater - Cabin,Cabin Heat,2241B4,(Signed(A)*256+B),0,7500,W,7E4,,,1,1-Feb,
!Heater - Battery,Batt Heat,2241B6,(Signed(A)*256+B),0,5000,W,7E4,,,1,1-Feb,
!Batt Temp,Batt Temp,22434F,A-40,-40,100,C,7E4,,,1,1-Feb,Not sure of header
*Batt Temp 2416,Batt Temp 2416,222416,A-40,-40,100,C,7E1,,,1,21-Mar,Not sure of header
*Batt Temp 2417,Batt Temp 2417,222417,A-40,-40,100,C,7E1,,,1,21-Mar,Not sure of header
!Electronics Temp 1,Ele.Temp 1,221C26,A-40,-20,100,C,7E0,,,1,23-Mar,Not sure of header
*Electronics Temp 2,Ele.Temp 2,221C28,A-40,-20,100,C,7E0,,,1,23-Mar,Not sure of header
*Electronics Temp 3,Ele.Temp 3,221C2A,A-40,-20,100,C,7E0,,,1,23-Mar,Not sure of header
*H2 Electronics Temp,Ele.Temp H2,221C43,A-40,-20,100,C,7E0,,,1,23-Mar,Not sure of header
*H2 Temp 2,Ele.Temp H2.2,2282B2,(A-80)/8,-20,100,C,7E4,,,1,23-Mar,Not sure of header
!Trans RPM,RPM,221942,((A*256)+B)/8,0,8810,?,7E1,,,1,1-Feb,
!Air Temp 0,Air Temp 0,0146,(A-40),-40,100,C,7E0,,,1,6-Apr,"Switched to 0146 as per ""Ampera E"" recommendation"
*Air Temp 1,Air Temp 1,22801E,(A/2)-40,-40,100,C,7E4,,,1,21-Mar,
*Air Temp 2,Air Temp 2,22801F,(A/2)-40,-40,100,C,7E4,,,1,21-Mar,
!Brake Torque,Brake Tq,22242C,(Signed(A)*256+B),-32768,32767,N-m,7E1,,,1,23-Mar,
*AC Low Side Preassure,AC Low,221563,A,0,255,kPa,7E4,,,1,23-Mar,Double check the Header???
*AC High Side Preassure,AC High,221564,A,0,255,kPa,7E0,,,1,23-Mar,Double check the Header???
*M Control Module Voltage,Ctrl Mod V,220042,(A*256+B)/1000,0,32,V,7E0,,,1,23-Mar,
,,,,,,,,,,,,
?MG Current ?,?MG A1,2224DF,(Signed(A)*256+B)/10,-600,600,A,7E1,,,1,23-Mar,Motor-side current (not battery-side). I think.
?MG Other Current ?,?MG A2,222883,(Signed(A)*256+B)/10,-600,600,A,7E1,,,1,23-Mar,
,,,,,,,,,,,,
?Unknown 2228DE,?2228DE,2228DE,(Signed(A)*256+B),-32768,32767,?,7E1,,,1,1-Feb,"These are all interesting, and they do change, but not sure what they are yet"
?Unknown 2228E1,?2228E1,2228E1,(Signed(A)*256+B),-32768,32767,?,7E1,,,1,1-Feb,
